1,Tempête,Gab's,Blonde,Suisse
2,Houleuse,Gab's,Blanche,Suisse
3,La blonde,Jorat,Blonde,Suisse
4,Ipanema,Gab's,IPA,Suisse
5,Ténébreuse,Gab's,Stout,Suisse
6,La blanche,Jorat,Blanche,Suisse
7,Punk IPA,Brewdog,IPA,Suisse
8,L'ambrée, Jorat, Ambrée, Suisse
9,Clockwork Tangerine,Brewdog,Citrus Session IPA,USA
